dataset,sentinel_count,sentinel_fraction,paired_count,paired_time_reduction,strict_rps_pass,risk_per_second.issued_safety,risk_per_second.availability,risk_per_second.unsafe_issued_rate,risk_per_second.mean_excess_time_budget,risk_per_second.mean_union_time_fraction,risk_per_second.mean_union_item_fraction,risk_per_second.passed,score_time.issued_safety,score_time.availability,score_time.unsafe_issued_rate,score_time.mean_excess_time_budget,score_time.mean_union_time_fraction,score_time.mean_union_item_fraction,score_time.passed
CIFAR-100N,250,0.005,225,0.42703964275278156,False,1.0,0.9962962962962963,0.0,0.055501858736059485,0.11049770153571825,0.24041933085501857,False,1.0,0.8333333333333334,0.0,0.07606666666666667,0.16154101944371624,0.16260124444444443,False
StoryLines-main,250,0.032141938801748524,113,0.21755888556189165,False,0.97,0.6033333333333334,0.022099447513812154,0.09943502824858758,0.17619331837835345,0.284916800325042,False,0.97,0.39,0.03418803418803419,0.11814159292035398,0.19418640533765816,0.20034372644298074,False
CIFAR-100N,500,0.01,258,0.42993768135827776,True,0.9888888888888889,1.0,0.003703703703703704,0.037081784386617106,0.09595965727510325,0.21025155555555555,True,1.0,0.9592592592592593,0.0,0.05277992277992277,0.15700942405807566,0.15804177606177605,False
StoryLines-main,500,0.06428387760349705,153,0.18183307049282052,False,1.0,0.69,0.0,0.07768115942028984,0.18917086031580022,0.2868843498881398,False,1.0,0.51,0.0,0.08313725490196079,0.20655164586165273,0.21225612041336633,False
CIFAR-100N,750,0.015,266,0.4534254687458541,True,0.9777777777777777,1.0,0.007407407407407408,0.024067164179104483,0.07902331380887596,0.1738351111111111,True,0.9888888888888889,0.9925925925925926,0.0037313432835820895,0.03348314606741574,0.14550362521592797,0.14636462686567164,True
StoryLines-main,750,0.09642581640524557,189,0.1381270497316412,False,0.97,0.77,0.012987012987012988,0.052171052631578944,0.19460434289071527,0.2735765991101553,False,1.0,0.64,0.0,0.076640625,0.20892350727361642,0.21359456694094456,False
CIFAR-100N,1000,0.02,266,0.4437182599344981,True,0.9777777777777777,1.0,0.007407407407407408,0.018432835820895523,0.07676247016282228,0.16562355555555555,True,0.9777777777777777,1.0,0.007407407407407408,0.027052238805970148,0.14390218117270429,0.14482837037037033,True
StoryLines-main,1000,0.1285677552069941,200,0.13306842754890286,False,1.0,0.8333333333333334,0.0,0.034659999999999996,0.21102474005817493,0.2788068912316792,True,0.99,0.67,0.004975124378109453,0.060125000000000005,0.2247344672053682,0.22882693756724223,False
CIFAR-100N,1250,0.025,268,0.42216256275368635,True,0.9888888888888889,1.0,0.003703703703703704,0.01392193308550186,0.07734118286761292,0.16096911111111112,True,0.9888888888888889,1.0,0.003703703703703704,0.03494423791821562,0.14120928731006727,0.14206792592592593,True
StoryLines-main,1250,0.1607096940087426,205,0.10727980548076103,False,1.0,0.9733333333333334,0.0,0.014674657534246576,0.2402969239860607,0.30287789233419166,True,0.98,0.69,0.00966183574879227,0.05207317073170733,0.236669335430233,0.23966582321250443,False
CIFAR-100N,1500,0.03,269,0.3791205727503066,True,0.9888888888888889,1.0,0.003703703703703704,0.02602230483271376,0.08116911492972234,0.1626122222222222,True,1.0,1.0,0.0,0.029203703703703704,0.13907779278556287,0.13988629629629631,True
StoryLines-main,1500,0.19285163281049114,213,0.06150830925134633,False,0.99,1.0,0.0033333333333333335,0.01725752508361204,0.2656600808097384,0.3225053569898003,True,1.0,0.7133333333333334,0.0,0.033621495327102804,0.2488366567553523,0.25125023130180263,True
